4GTV,#genre#
主要通告,https://tv1288.xyz/2027.mp4

中天新聞台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E4%25B8%25AD%25E5%25A4%25A9%25E6%2596%25B0%25E8%2581%259E%25E5%258F%25B0
TVBS新聞,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DTVBS%25E6%2596%25B0%25E8%2581%259E
民視新聞台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E6%25B0%2591%25E8%25A6%2596%25E6%2596%25B0%25E8%2581%259E%25E5%258F%25B0
東森新聞台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E6%259D%25B1%25E6%25A3%25AE%25E6%2596%25B0%25E8%2581%259E%25E5%258F%25B0
華視新聞,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E8%258F%25AF%25E8%25A6%2596%25E6%2596%25B0%25E8%2581%259E
鏡電視新聞台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E9%258F%25A1%25E9%259B%25BB%25E8%25A6%2596%25E6%2596%25B0%25E8%2581%259E%25E5%258F%25B0
東森財經新聞台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E6%259D%25B1%25E6%25A3%25AE%25E8%25B2%25A1%25E7%25B6%2593%25E6%2596%25B0%25E8%2581%259E%25E5%258F%25B0
中視新聞,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E4%25B8%25AD%25E8%25A6%2596%25E6%2596%25B0%25E8%2581%259E
寰宇新聞台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E5%25AF%25B0%25E5%25AE%2587%25E6%2596%25B0%25E8%2581%259E%25E5%258F%25B0
寰宇新聞台灣台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E5%25AF%25B0%25E5%25AE%2587%25E6%2596%25B0%25E8%2581%259E%25E5%258F%25B0%25E7%2581%25A3%25E5%258F%25B0
三立新聞iNEWS,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E4%25B8%2589%25E7%25AB%258B%25E6%2596%25B0%25E8%2581%259EiNEWS
Bloomberg TV,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DBloomberg%2520TV
SBN全球財經台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DSBN%25E5%2585%25A8%25E7%2590%2583%25E8%25B2%25A1%25E7%25B6%2593%25E5%258F%25B0
FRANCE24 英文台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DFRANCE24%2520%25E8%258B%25B1%25E6%2596%2587%25E5%258F%25B0
半島國際新聞台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E5%258D%258A%25E5%25B3%25B6%25E5%259C%258B%25E9%259A%259B%25E6%2596%25B0%25E8%2581%259E%25E5%258F%25B0
NHK WORLD-JAPAN,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DNHK%2520WORLD-JAPAN
CNBC Asia 財經台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DCNBC%2520Asia%2520%25E8%25B2%25A1%25E7%25B6%2593%25E5%258F%25B0
DW德國之聲,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DDW%25E5%25BE%25B7%25E5%259C%258B%25E4%25B9%258B%25E8%2581%25B2
民視第一台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E6%25B0%2591%25E8%25A6%2596%25E7%25AC%25AC%25E4%25B8%2580%25E5%258F%25B0
民視台灣台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E6%25B0%2591%25E8%25A6%2596%25E5%258F%25B0%25E7%2581%25A3%25E5%258F%25B0
民視,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E6%25B0%2591%25E8%25A6%2596
三立綜合台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E4%25B8%2589%25E7%25AB%258B%25E7%25B6%259C%25E5%2590%2588%25E5%258F%25B0
華視,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E8%258F%25AF%25E8%25A6%2596
中視,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E4%25B8%25AD%25E8%25A6%2596
中視經典台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E4%25B8%25AD%25E8%25A6%2596%25E7%25B6%2593%25E5%2585%25B8%25E5%258F%25B0
中視菁采台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E4%25B8%25AD%25E8%25A6%2596%25E8%258F%2581%25E9%2587%2587%25E5%258F%25B0
八大綜藝台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E5%2585%25AB%25E5%25A4%25A7%25E7%25B6%259C%25E8%2597%259D%25E5%258F%25B0
TVBS精采台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DTVBS%25E7%25B2%25BE%25E9%2587%2587%25E5%258F%25B0
民視綜藝台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E6%25B0%2591%25E8%25A6%2596%25E7%25B6%259C%25E8%2597%259D%25E5%258F%25B0
TVBS,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DTVBS
TVBS歡樂台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DTVBS%25E6%25AD%25A1%25E6%25A8%2582%25E5%258F%25B0
TVBS綜藝台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DTVBS%25E7%25B6%259C%25E8%2597%259D%25E5%258F%25B0
TVBS台劇台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DTVBS%25E5%258F%25B0%25E5%258A%2587%25E5%258F%25B0
靖天綜合台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E9%259D%2596%25E5%25A4%25A9%25E7%25B6%259C%25E5%2590%2588%25E5%258F%25B0
靖天日本台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E9%259D%2596%25E5%25A4%25A9%25E6%2597%25A5%25E6%259C%25AC%25E5%258F%25B0
KLT-靖天國際台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DKLT-%25E9%259D%2596%25E5%25A4%25A9%25E5%259C%258B%25E9%259A%259B%25E5%258F%25B0
靖天資訊台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E9%259D%2596%25E5%25A4%25A9%25E8%25B3%2587%25E8%25A8%258A%25E5%258F%25B0
Nice TV 靖天歡樂台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DNice%2520TV%2520%25E9%259D%2596%25E5%25A4%25A9%25E6%25AD%25A1%25E6%25A8%2582%25E5%258F%25B0
新唐人亞太台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E6%2596%25B0%25E5%2594%2590%25E4%25BA%25BA%25E4%25BA%259E%25E5%25A4%25AA%25E5%258F%25B0
ARIRANG阿里郎頻道,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DARIRANG%25E9%2598%25BF%25E9%2587%258C%25E9%2583%258E%25E9%25A0%25BB%25E9%2581%2593
Global Trekker,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DGlobal%2520Trekker
原住民族電視台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E5%258E%259F%25E4%25BD%258F%25E6%25B0%2591%25E6%2597%258F%25E9%259B%25BB%25E8%25A6%2596%25E5%258F%25B0
客家電視台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E5%25AE%25A2%25E5%25AE%25B6%25E9%259B%25BB%25E8%25A6%2596%25E5%258F%25B0
國會頻道1,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E5%259C%258B%25E6%259C%2583%25E9%25A0%25BB%25E9%2581%25931
國會頻道2,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E5%259C%258B%25E6%259C%2583%25E9%25A0%25BB%25E9%2581%25932
好消息,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E5%25A5%25BD%25E6%25B6%2588%25E6%2581%25AF
好消息2台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E5%25A5%25BD%25E6%25B6%2588%25E6%2581%25AF2%25E5%258F%25B0
大愛電視,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E5%25A4%25A7%25E6%2584%259B%25E9%259B%25BB%25E8%25A6%2596
大愛二台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E5%25A4%25A7%25E6%2584%259B%25E4%25BA%258C%25E5%258F%25B0
人間衛視,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E4%25BA%25BA%25E9%2596%2593%25E8%25A1%259B%25E8%25A6%2596
民視旅遊台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E6%25B0%2591%25E8%25A6%2596%25E6%2597%2585%25E9%2581%258A%25E5%258F%25B0
亞洲旅遊台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E4%25BA%259E%25E6%25B4%25B2%25E6%2597%2585%25E9%2581%258A%25E5%258F%25B0
愛爾達生活旅遊台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E6%2584%259B%25E7%2588%25BE%25E9%2581%2594%25E7%2594%259F%25E6%25B4%25BB%25E6%2597%2585%25E9%2581%258A%25E5%258F%25B0
fun探索娛樂台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3Dfun%25E6%258E%25A2%25E7%25B4%25A2%25E5%25A8%259B%25E6%25A8%2582%25E5%258F%25B0
幸福空間居家台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E5%25B9%25B8%25E7%25A6%258F%25E7%25A9%25BA%25E9%2596%2593%25E5%25B1%2585%25E5%25AE%25B6%25E5%258F%25B0
Love Nature,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DLove%2520Nature
History 歷史頻道,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DHistory%2520%25E6%25AD%25B7%25E5%258F%25B2%25E9%25A0%25BB%25E9%2581%2593
LUXE TV Channel,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DLUXE%2520TV%2520Channel
TV5MONDE STYLE HD 生活時尚,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DTV5MONDE%2520STYLE%2520HD%2520%25E7%2594%259F%25E6%25B4%25BB%25E6%2599%2582%25E5%25B0%259A
MagellanTV頻道 (麥哲倫頻道),http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DMagellanTV%25E9%25A0%25BB%25E9%2581%2593%2520%2528%25E9%25BA%25A5%25E5%2593%25B2%25E5%2580%25AB%25E9%25A0%25BB%25E9%2581%2593%2529
Lifetime 娛樂頻道,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DLifetime%2520%25E5%25A8%259B%25E6%25A8%2582%25E9%25A0%25BB%25E9%2581%2593
ROCK Entertainment,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DROCK%2520Entertainment
八大精彩台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E5%2585%25AB%25E5%25A4%25A7%25E7%25B2%25BE%25E5%25BD%25A9%25E5%258F%25B0
靖天育樂台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E9%259D%2596%25E5%25A4%25A9%25E8%2582%25B2%25E6%25A8%2582%25E5%258F%25B0
